hospital_name,facility_type,district,latitude,longitude,ownership_type,ownership_encoded,tier,tier_encoded,specialties,opd_fee_npr,emergency_available,bed_capacity,rating,ambulance_service,parking_available,phone
chisapani aaspatal,hospital,Bhaktapur,27.5568276294618,83.7746512766322,Private,2,Premium,2,"Orthopedics, Pulmonology, Cardiology, General Medicine, Infectious Disease, Gastroenterology",2745,True,163,4.5,True,True,
अाधारभूत स्वास्थ्य सेवा केन्द्र,hospital,Morang,27.6222476293598,83.65348818405,Private,2,Premium,2,"Gastroenterology, Urology, Neurology, Infectious Disease, Cardiology, Dermatology",1836,True,309,4.5,False,True,
Lagadigadiyani Health Care Center,clinic,Hetauda,26.5988871569461,86.2312696663258,Private,2,Budget,0,"General Medicine, Infectious Disease",256,False,0,2.6,True,False,
Paterwa Health Post,clinic,Pokhara,26.9275474477118,85.1610717895308,Private,2,Standard,1,"Gastroenterology, Dermatology",623,False,0,3.3,True,True,
ओम हस्पिटल एण्ड रिसर्च सेन्टर प्रा. लि,hospital,Kathmandu,27.721420296052,85.3448028556372,Private,2,Premium,2,"Infectious Disease, Cardiology, General Surgery, Gastroenterology, General Medicine, Endocrinology",1756,True,364,4.7,True,True,
हरिहरपुर स्वास्थ्य चौकी,clinic,Itahari,27.6265334640904,82.9702834473285,Private,2,Budget,0,"Dermatology, Infectious Disease",492,False,0,2.8,False,False,
Kolmuda GauGhar Clinic,clinic,Palpa,28.9245589290354,80.5273853949396,Private,2,Standard,1,"Infectious Disease, General Medicine",796,False,0,3.2,False,False,
na,hospital,Kathmandu,27.9466380948299,83.1540526510943,Private,2,Standard,1,"Infectious Disease, Cardiology, Pulmonology, Orthopedics",541,True,186,3.4,True,False,
Rahul Medisales,clinic,Dang,27.5161356688492,83.4528427726157,Private,2,Budget,0,Dermatology,467,False,0,3.0,False,True,
Kiswari bhawan,clinic,Makwanpur,28.9649779748806,81.5645577350406,Private,2,Standard,1,"Dermatology, Infectious Disease, General Medicine",656,False,0,3.5,False,True,
Sahid Memorial Hospital,hospital,Birgunj,,,Private,2,Premium,2,"Pulmonology, Infectious Disease, Gastroenterology, Urology, Dermatology, General Medicine",1241,True,139,4.1,True,True,
Hospital Building,hospital,Lalitpur,26.8153162787895,85.952858130714,Private,2,Premium,2,"Urology, Infectious Disease, Cardiology, Pulmonology, Dermatology, General Surgery",1760,True,308,4.0,True,True,
Janakpur Trauma Hospital,hospital,Myagdi,26.7294244862185,85.9125085708461,Private,2,Premium,2,"Infectious Disease, Endocrinology, Urology, General Surgery, General Medicine, Dermatology",1624,True,202,4.1,False,False,
पुष्पा आयु मेडिकल,clinic,Birgunj,,,Private,2,Standard,1,"Infectious Disease, General Medicine",883,False,0,3.5,False,True,
महादेवपुरी स्वास्थ्य चौकी,clinic,Kathmandu,28.1582049584613,81.7606811935319,Private,2,Standard,1,"Infectious Disease, Dermatology, General Medicine",810,False,0,3.0,False,False,
Sauraha Eye Care Center,hospital,Lalitpur,27.5824077730238,84.5023170643664,Private,2,Premium,2,"Urology, Pulmonology, Infectious Disease, General Medicine, Orthopedics, Neurology",1602,False,287,4.6,True,True,
Syaule Health Post,clinic,Gorkha,27.8124163323795,85.6930485528152,Private,2,Budget,0,Dermatology,448,False,0,3.2,False,False,
भवानीपुर स्वास्थ्य केन्द्र,clinic,Chitwan,26.7208032797094,86.4009849330405,Private,2,Budget,0,General Medicine,214,False,0,2.6,True,False,
Bharmapur Health Post Bharmarpura,clinic,Dang,26.7269954944979,85.852241429743,Private,2,Budget,0,General Medicine,273,False,0,2.9,False,False,
साइनिङ अस्पताल,hospital,Dhanusha,28.0878028391359,81.6142043342706,Private,2,Standard,1,"Infectious Disease, Cardiology, Endocrinology, Pulmonology",645,True,95,3.5,True,False,
Rashmi Medical Hall,clinic,Kathmandu,27.6701024291483,85.3548217445004,Private,2,Standard,1,"General Medicine, Dermatology, Infectious Disease",1302,False,0,3.4,False,True,
Janapriya Hospital,hospital,Pokhara,28.2066294762085,83.9769178319593,Private,2,Premium,2,"Cardiology, Endocrinology, Neurology, General Surgery, Dermatology, Infectious Disease",2207,True,405,3.9,False,True,
Subh Ultrasound Clinic,clinic,Kathmandu,27.7019463689519,85.3222684442313,Private,2,Budget,0,"Infectious Disease, Gastroenterology, General Medicine",415,False,0,2.5,True,False,
Ãkha Hospital,doctors,Hetauda,27.8745828965607,82.509634919851,Private,2,Standard,1,General Medicine,549,False,0,3.9,False,True,
Musarniya BHCC,clinic,Mustang,26.5205008557529,86.7104476480537,Private,2,Budget,0,"Infectious Disease, Dermatology, Gastroenterology",356,False,0,3.1,False,True,
hospital,hospital,Dharan,,,Private,2,Standard,1,"General Medicine, Cardiology, Urology, Dermatology",1410,True,155,3.1,True,False,
Primary Health Post Gachi Tole,clinic,Itahari,26.8011588252342,85.8503112450802,Private,2,Budget,0,General Medicine,345,False,0,2.7,False,True,
Niwaran Poly Clinic,clinic,Kathmandu,27.6736700185961,85.3735561362836,Private,2,Standard,1,"General Medicine, Gastroenterology, Infectious Disease",720,False,0,3.7,True,True,
Sorek Health Post,hospital,Syangja,28.009882068845,83.7551105457638,Private,2,Premium,2,"Pulmonology, Dermatology, Urology, Endocrinology, Neurology, Infectious Disease",1374,True,136,4.0,True,True,
Purainiya Health Post,clinic,Kaski,26.9943046964422,84.9643554790281,Private,2,Standard,1,General Medicine,1338,False,0,4.0,False,True,
Orchid Home Care Center,clinic,Kathmandu,,,Private,2,Budget,0,Gastroenterology,578,False,0,2.5,False,False,
Parsurampur Health Care Center,clinic,Gorkha,26.9344303313218,85.0418108860549,Private,2,Budget,0,"Infectious Disease, Gastroenterology",450,False,0,3.3,False,True,
Arusara urban health center,clinic,Itahari,28.0204849249024,84.6584932943421,Private,2,Budget,0,Gastroenterology,201,False,0,3.1,False,False,
आधारभुर स्वास्थ्य केन्द्र( वार्ड न १),clinic,Makwanpur,27.5788870384148,83.5745224418904,Private,2,Standard,1,Gastroenterology,625,False,0,4.1,True,False,
Kotbhairav Health Post,clinic,Kathmandu,29.4668807210355,81.0243300777294,Private,2,Budget,0,Gastroenterology,480,True,0,3.1,False,True,
आयुर्वेदिक अस्पताल,hospital,Pokhara,26.9856161832506,85.4384696177728,Private,2,Premium,2,"Urology, Dermatology, Gastroenterology, Infectious Disease, Orthopedics, Endocrinology",1714,True,369,4.5,True,True,
जैसपुर स्वास्थ चौकि,clinic,Biratnagar,28.0285257684358,81.6052614303177,Private,2,Budget,0,"Gastroenterology, General Medicine, Dermatology",234,False,0,2.9,False,False,
Jagadamba Pharmacy,clinic,Kathmandu,27.5175974727626,83.4523016369468,Private,2,Standard,1,"General Medicine, Gastroenterology",1391,False,0,3.4,True,False,
राप्तिसोनारी अस्पताल,hospital,Pokhara,28.0242785742787,81.8946837692143,Private,2,Standard,1,"Urology, Pulmonology, Cardiology, Dermatology",545,False,199,3.7,False,True,
Community Health Post Bhagawanpur,clinic,Lalitpur,26.7255572437323,85.8412627291473,Private,2,Standard,1,"Dermatology, Infectious Disease",927,False,0,3.2,False,True,
MHP Ismarajasthal HP,hospital,Biratnagar,28.1762299897788,83.1956599993524,Private,2,Premium,2,"Pulmonology, Urology, Orthopedics, Cardiology, Dermatology, General Medicine",1985,True,457,4.9,True,False,
Adharbhut Health Post Gundi,clinic,Morang,27.5015258439797,83.3319167202553,Private,2,Standard,1,"Dermatology, General Medicine, Gastroenterology",1086,False,0,3.8,False,True,
Lumbini Medical College,hospital,Dharan,,,Private,2,Premium,2,"Pulmonology, Cardiology, Orthopedics, Urology, General Medicine, Infectious Disease",1634,True,429,3.6,False,True,
"Aadharbhut swasthya sewa, roshani dada",clinic,Dharan,28.9277017236303,81.5915718545976,Private,2,Budget,0,Infectious Disease,489,False,0,3.1,False,False,
Eye checkup Clinnic,clinic,Kathmandu,27.7385818237046,85.312379055772,Private,2,Budget,0,"General Medicine, Gastroenterology",431,False,0,3.0,True,True,
Balkumari Health Centre,clinic,Kathmandu,27.6766071212871,85.3856455228688,Private,2,Standard,1,Dermatology,1421,True,0,3.9,False,True,
हवमा स्वास्थ्य चौकी,clinic,Bhaktapur,28.3906325350728,82.625274673518,Private,2,Budget,0,Infectious Disease,372,False,0,2.9,False,True,
MHP Pipaldhara HP,hospital,Biratnagar,28.0857499434107,83.1393699874862,Private,2,Standard,1,"Dermatology, Endocrinology, General Medicine, Orthopedics",1300,True,69,3.9,True,True,
कँडेल गाउँ स्वास्थ्य चौकी,clinic,Parbat,29.5477122748416,81.0812453795723,Private,2,Budget,0,"Infectious Disease, General Medicine",393,False,0,2.7,False,True,
स्वाथ्य चौकी,clinic,Morang,27.8146123910109,82.5374027401413,Private,2,Budget,0,"Dermatology, Infectious Disease",443,False,0,3.2,False,False,
Spark Ortho Neuro Center,clinic,Kathmandu,27.6756166317891,85.3746471248006,Private,2,Standard,1,"Gastroenterology, Infectious Disease, Dermatology",1354,False,0,3.3,False,True,
Sreesiya Health Post,clinic,Chitwan,27.025890389809,84.8508986244046,Private,2,Budget,0,Dermatology,568,True,0,2.7,False,True,
Shree Gadhmai Health Clinic,clinic,Lalitpur,27.0429057370702,85.0322036324564,Private,2,Budget,0,Infectious Disease,510,False,0,3.3,True,False,
कल्पना स्वास्थ्य सेवा केन्द्र,hospital,Kathmandu,27.7670426597493,85.3006200838099,Private,2,Premium,2,"Urology, General Medicine, Infectious Disease, Dermatology, Pulmonology, Orthopedics",1271,True,449,4.9,True,True,
भुटनेटा आधारभूत स्वास्थ्य केन्द्र,clinic,Dhanusha,28.0141109904531,82.6815156512507,Private,2,Standard,1,"Infectious Disease, General Medicine",1280,False,0,3.2,False,False,
MHP Purkhot Daha HP,hospital,Lalitpur,28.1433899446021,83.0746899420004,Private,2,Premium,2,"Neurology, Infectious Disease, Urology, Pulmonology, General Medicine, General Surgery",1283,False,213,3.9,True,True,
Bheri Ultrasound,clinic,Dharan,28.0531623611575,81.6205935237836,Private,2,Standard,1,"Dermatology, Gastroenterology",1016,False,0,3.3,True,False,081-521343
Everest Medicare Pvt Ltd,clinic,Dolpa,27.5144954980362,83.4533332815894,Private,2,Budget,0,Gastroenterology,525,False,0,2.7,False,False,
Manoja Health Cilinik 1 Parsagadhi MP,clinic,Morang,27.1776618458479,84.8665694305778,Private,2,Standard,1,"Infectious Disease, Dermatology",971,False,0,3.7,False,True,
जयरिथिबिनगर स्वास्थ्य चौकि,clinic,Itahari,29.5349559402208,81.1042937692808,Private,2,Budget,0,"Dermatology, Gastroenterology",589,False,0,2.7,False,False,
"Nagar Swasthya Kendra, Narkatiya",clinic,Sunsari,27.6009583496703,84.4920426950944,Private,2,Budget,0,Gastroenterology,430,False,0,2.8,False,False,
Laliguras Hospital,hospital,Syangja,,,Private,2,Premium,2,"Endocrinology, Cardiology, Orthopedics, General Medicine, Neurology, Gastroenterology",2366,True,223,4.4,True,True,
Manikhel Hospital,hospital,Bardiya,27.5139348325329,85.3904652848316,Private,2,Standard,1,"General Medicine, Pulmonology, Orthopedics, General Surgery",959,True,184,3.5,True,False,
Deep Health Clinic,clinic,Pokhara,27.0134906213492,84.8743895786006,Private,2,Standard,1,"General Medicine, Gastroenterology",652,False,0,4.0,False,True,
कान्तिपुर अस्पताल,hospital,Kathmandu,27.6858799369489,85.3452222860719,Private,2,Premium,2,"Endocrinology, General Surgery, Infectious Disease, Urology, Neurology, Dermatology",2774,True,486,3.6,True,True,
Bhirgaun Health Post,clinic,Kathmandu,27.0211897346902,87.3521812424437,Private,2,Standard,1,Infectious Disease,1245,False,0,3.1,False,True,
Bhim Hospital,hospital,Birgunj,27.505903125274,83.4544143794607,Private,2,Standard,1,"Urology, General Surgery, Pulmonology, Endocrinology",833,True,64,3.4,True,True,
एलिना स्वास्थ क्लिनिक,clinic,Biratnagar,28.097253267326,82.4306089956266,Private,2,Standard,1,"General Medicine, Gastroenterology",591,False,0,3.1,False,True,
Sairam Homiyo Pharmacy,clinic,Bhaktapur,27.516386036297,83.4516802864645,Private,2,Standard,1,"General Medicine, Dermatology",1319,True,0,3.5,False,True,
हर्मिचौर स्वास्थ चौकी,clinic,Myagdi,27.9792823387484,83.570686296265,Private,2,Budget,0,"Infectious Disease, Gastroenterology",519,False,0,2.7,False,False,
Chauthe Hospital and Research Centre,hospital,Lamjung,,,Private,2,Premium,2,"Pulmonology, General Surgery, Gastroenterology, Dermatology, Orthopedics, Endocrinology",2360,True,483,3.7,True,True,
joshipur physical health center,hospital,Birgunj,28.5753450382217,81.0226463210199,Private,2,Premium,2,"Pulmonology, Gastroenterology, Orthopedics, Urology, Cardiology, General Medicine",2277,True,497,4.3,True,True,
Nava Nepal BHCC,clinic,Rupandehi,27.6767728315128,84.1776054881857,Private,2,Budget,0,"General Medicine, Dermatology",409,False,0,2.7,False,False,
Jasmine Pharmacy And Clinic Pvt.Ltd,clinic,Kathmandu,27.7032138803498,85.3204545165655,Private,2,Budget,0,"Gastroenterology, Dermatology, Infectious Disease",398,False,0,3.4,False,False,
Suspa Chemawati Health Post,clinic,Dharan,27.7019299404217,86.0585879602589,Private,2,Budget,0,"Dermatology, General Medicine",319,False,0,3.5,True,True,
Phoksing Health Post,clinic,Baglung,28.0724563287965,83.5212859573503,Private,2,Budget,0,General Medicine,402,False,0,3.0,False,False,
"Dhirapur Health Post, Dhirapur",clinic,Nepalgunj,26.6470660849304,85.8507537257487,Private,2,Budget,0,"Gastroenterology, General Medicine",373,True,0,3.4,False,False,
हाम्रो सहयात्री अस्पताल,hospital,Kathmandu,27.6760050491821,85.353550042151,Private,2,Premium,2,"General Medicine, Infectious Disease, Dermatology, Orthopedics, Gastroenterology, Neurology",2107,True,274,4.0,True,True,
Health Post,hospital,Biratnagar,29.3181943920976,81.7244946735132,Private,2,Standard,1,"Pulmonology, General Surgery, Infectious Disease, Gastroenterology",546,True,200,3.9,True,False,
Sangachok Basic Health Service and Delivery Service center.,clinic,Pokhara,27.6970276167126,85.7116030689562,Private,2,Standard,1,"General Medicine, Infectious Disease, Gastroenterology",1481,False,0,3.3,False,False,
Dhansingpur Swasthya Chauki,hospital,Itahari,,,Private,2,Premium,2,"Urology, Pulmonology, Cardiology, Neurology, Endocrinology, Dermatology",2373,True,242,4.2,True,True,
Elite Pathology Clinic & dental House,clinic,Biratnagar,,,Private,2,Budget,0,"General Medicine, Dermatology",426,False,0,3.0,False,False,
Bahakha Pharmacy and Dental Optical,clinic,Kathmandu,27.6828036946652,85.3894911400448,Private,2,Standard,1,"General Medicine, Infectious Disease, Gastroenterology",1253,True,0,3.4,False,True,
Muktinath Hospital,hospital,Itahari,28.2677390823995,83.5984622470014,Private,2,Premium,2,"Dermatology, Neurology, Urology, Infectious Disease, General Surgery, Endocrinology",1568,True,174,3.8,True,True,
Pokhara University Teaching Hospital,hospital,Tanahu,,,Private,2,Standard,1,"General Medicine, General Surgery, Pulmonology, Infectious Disease",1161,True,77,3.3,True,False,
Sarswati Health Clinic,clinic,Dharan,27.045134233667,85.032083687422,Private,2,Budget,0,Dermatology,245,False,0,3.2,False,False,
Sworgadhari Health Post,clinic,Pokhara,28.1220293349166,82.6711184870971,Private,2,Budget,0,"General Medicine, Infectious Disease",284,False,0,3.2,False,True,
Aadharbhut Health Ekai,clinic,Dolpa,26.982162671505,84.9544036453901,Private,2,Budget,0,"Gastroenterology, Infectious Disease",562,False,0,2.8,False,False,
Surya Hospital,hospital,Hetauda,27.0028666428958,84.870529125456,Private,2,Premium,2,"Urology, Dermatology, General Surgery, Pulmonology, Cardiology, Neurology",1050,True,265,4.6,True,True,
Sambanda Polyclinic and Dygnostic Center,clinic,Kathmandu,28.7936620999359,81.3849645630739,Private,2,Budget,0,General Medicine,492,False,0,2.9,False,False,
"Katahariya-7,Health Post, Katahariya MP",clinic,Kathmandu,26.9743118457166,85.2771389364406,Private,2,Budget,0,General Medicine,522,True,0,3.0,False,True,
Deurali Urban Health Center,clinic,Lalitpur,27.7786539425775,85.7403700959238,Private,2,Standard,1,"Gastroenterology, General Medicine",1315,True,0,4.0,False,True,
Sangutar BHCC,clinic,Kaski,27.3532582749244,86.2143784550505,Private,2,Budget,0,General Medicine,595,False,0,3.1,False,False,
Siddhartha Medico & Pathology Clinic,clinic,Kathmandu,27.7143116877896,85.3568113568567,Private,2,Budget,0,Dermatology,562,False,0,2.7,True,False,
Urban Health Center Jitpur,clinic,Dang,27.7208453813134,85.7507730435905,Private,2,Standard,1,"General Medicine, Dermatology, Gastroenterology",816,True,0,3.6,False,True,
Laxmi bazar urban health center,clinic,Butwal,27.9684993555919,84.62075578696,Private,2,Standard,1,"General Medicine, Gastroenterology",1074,True,0,4.1,False,True,
Golbajar Health Care Pvt. Ltd.,clinic,Kathmandu,26.7896025276908,86.337642052568,Private,2,Budget,0,Dermatology,530,False,0,2.9,True,False,
Gauro Medical,clinic,Dharan,27.2671679988863,84.6844558203268,Private,2,Standard,1,Dermatology,626,False,0,3.9,False,True,
pachnagar health post,hospital,Dolpa,27.5603332766451,83.7515792499568,Private,2,Premium,2,"General Surgery, Pulmonology, Infectious Disease, General Medicine, Urology, Dermatology",2318,True,352,4.5,True,True,
Om Sai Manokamana Polyclinic Pvt. Ltd.,clinic,Hetauda,26.7361676435026,86.932755836783,Private,2,Budget,0,Gastroenterology,486,True,0,3.1,False,False,
Landseed Health Care Chitwan,clinic,Mustang,27.7679053252239,84.470587118446,Private,2,Standard,1,Infectious Disease,587,False,0,3.9,False,False,
Januni BHCC,clinic,Gorkha,26.5687325897272,86.7155196214831,Private,2,Standard,1,"Infectious Disease, Dermatology",697,False,0,4.0,True,True,
Biruwa Guthi Health Post 4 Parsagadi MP,clinic,Kathmandu,27.1491183642379,84.8964766478341,Private,2,Budget,0,"Gastroenterology, Dermatology",516,False,0,3.2,False,False,
Waling Hospital,hospital,Dhanusha,27.9785988783637,83.7522155202267,Private,2,Standard,1,"Dermatology, Orthopedics, Pulmonology, Gastroenterology",1054,True,77,3.4,True,True,
B.P. Koirala Memorial Cancer Hospital,hospital,Sunsari,,,Private,2,Premium,2,"Pulmonology, Neurology, Urology, General Medicine, Endocrinology, General Surgery",2181,True,119,4.9,True,True,
Jana Swasthya Sewa Kendra,hospital,Hetauda,29.3521432792452,81.8067147733989,Private,2,Standard,1,"Neurology, Gastroenterology, Dermatology, General Medicine",1275,False,151,4.1,True,False,
Shree Basic Health Care Center,clinic,Pokhara,28.1027448388282,83.9138128298989,Private,2,Standard,1,"General Medicine, Infectious Disease",554,False,0,3.5,False,True,
Urban Health Promotion and Care Center,clinic,Biratnagar,26.683355199444,85.8584278610183,Private,2,Budget,0,"Infectious Disease, Dermatology, General Medicine",491,True,0,3.0,True,False,
Ratu Healthpost,hospital,Morang,28.6454075228305,81.6825000813284,Government,0,Standard,1,"Dermatology, Urology, Neurology, Cardiology",367,True,116,3.5,True,True,9848260825
Janaki Health Care Center 8 Lalbandhi MP,clinic,Lalitpur,27.0530528690521,85.6328887838918,Private,2,Budget,0,General Medicine,296,False,0,2.6,True,False,
Ayurveda Hospital,hospital,Butwal,,,Private,2,Premium,2,"Urology, Gastroenterology, Neurology, Infectious Disease, Dermatology, Pulmonology",2537,True,470,4.0,True,True,
Krisnanagar Swosth Chauki,clinic,Nepalgunj,27.5122971762909,82.7951714922555,Private,2,Budget,0,Dermatology,443,False,0,2.9,False,False,
Kosh Haat Health Unit,clinic,Myagdi,27.3074237652577,86.3777088908419,Private,2,Standard,1,Dermatology,1014,False,0,3.3,False,False,
क्लिनिक स्वास्थ्य सेवा केन्द्र,clinic,Kathmandu,27.7267651842487,85.3050103570541,Private,2,Budget,0,"Gastroenterology, Dermatology",209,False,0,2.6,False,False,
Aadharbhut Swasthya Kendra,clinic,Lamjung,26.7807883697707,85.2826766922292,Private,2,Budget,0,General Medicine,261,False,0,2.8,False,False,
Shree Karna Clinic Private Limited,clinic,Biratnagar,26.658839389947,86.210650184519,Private,2,Budget,0,Infectious Disease,537,False,0,2.6,False,False,
Kharbang Health Care Center,clinic,Hetauda,28.1910875837061,83.276469089658,Private,2,Standard,1,"Gastroenterology, Infectious Disease",1458,False,0,3.9,False,False,
Dubarkot Hathaletwa Health Service Center,clinic,Bhaktapur,26.6988646539811,86.1516254929233,Private,2,Standard,1,"Infectious Disease, Gastroenterology, General Medicine",1044,False,0,3.7,False,False,
Siddhi Ultra Sound Clinic,clinic,Kathmandu,27.7059725323223,85.3179834476909,Private,2,Standard,1,Dermatology,684,False,0,4.1,False,True,
Shivamandir Healthpost Kawasoti,clinic,Baglung,27.6560611487711,84.1113662410716,Private,2,Budget,0,"Infectious Disease, Dermatology",209,False,0,2.6,False,False,
सामखुसी सामुदायिक क्लिनिक,clinic,Kathmandu,27.7245403756893,85.3137910711806,Private,2,Standard,1,"General Medicine, Gastroenterology",781,True,0,3.1,True,True,
छ्याला आधारभुत स्वास्थ्य केन्द्र,clinic,Lamjung,29.530344971466,81.1444782894753,Private,2,Budget,0,"General Medicine, Dermatology",305,True,0,3.2,False,True,
बाराकोट स्वास्थ्य चौकी बाराकोट,clinic,Biratnagar,29.5484520616156,80.3727918359212,Private,2,Budget,0,Infectious Disease,325,False,0,3.1,False,True,
आधारभुत स्वास्थ्य केन्द्र चौगुर्जी,clinic,Morang,28.2089786722109,81.3309478909864,Private,2,Budget,0,Gastroenterology,561,False,0,3.2,True,False,
Dulatthai Basic Health Service Center,clinic,Chitwan,28.813817559583,81.3721958232365,Private,2,Budget,0,Dermatology,496,False,0,2.8,True,True,
Siddhi Medical,clinic,Lalitpur,28.05794147089,81.619250156162,Private,2,Budget,0,Gastroenterology,427,False,0,2.7,True,False,
राज पशुपति क्लिनिक,clinic,Banke,27.9896870466148,82.5383680839298,Private,2,Standard,1,"Gastroenterology, Infectious Disease, Dermatology",586,False,0,4.1,False,True,
सहरी स्वास्थ्य केन्द्र,clinic,Hetauda,26.8050342819855,86.3993969814843,Private,2,Standard,1,General Medicine,1326,False,0,4.2,False,False,
Satupasal Urban Health Care Unit,clinic,Bardiya,,,Private,2,Budget,0,"Gastroenterology, General Medicine",473,False,0,2.9,False,True,
Jamdah BHCC,clinic,Hetauda,26.8269789426841,86.3518416670962,Private,2,Standard,1,Gastroenterology,1121,True,0,3.1,False,True,
Relief Medical Hall,clinic,Kathmandu,27.6792603289176,85.4442478503635,Private,2,Standard,1,"Gastroenterology, Dermatology, Infectious Disease",828,False,0,3.6,False,True,
साडी स्वास्थ्य चौकी,clinic,Kathmandu,27.5744835217636,83.2302394570757,Private,2,Budget,0,Gastroenterology,405,False,0,3.0,False,False,
Ishan Children and Women's Hospital (P) Ltd.,hospital,Birgunj,,,Private,2,Premium,2,"General Medicine, General Surgery, Dermatology, Cardiology, Pulmonology, Gastroenterology",2206,True,219,4.8,True,True,
OP Clinic,clinic,Kathmandu,26.693286078324,86.2373931495082,Private,2,Budget,0,"Gastroenterology, General Medicine, Infectious Disease",223,True,0,2.9,False,False,
Marie Stopes Centre - Putalisadak,clinic,Kathmandu,,,Community/NGO,1,Standard,1,Gastroenterology,1003,False,0,3.4,False,False,
Soni Helth Clinik,clinic,Parbat,27.0349940586648,85.0042037172672,Private,2,Budget,0,Dermatology,211,False,0,3.1,False,True,
Padampur Health Post,hospital,Lamjung,27.6839786698521,84.5067581319439,Private,2,Premium,2,"Orthopedics, Pulmonology, Neurology, Infectious Disease, Cardiology, General Surgery",1696,True,211,3.5,False,True,
Pokhara Neuro Spine & ENT Centre,clinic,Pokhara,28.2175983699775,83.9879165653036,Private,2,Budget,0,Infectious Disease,423,False,0,3.1,False,True,061-521918
Chiutaha Health Post,clinic,Syangja,26.9452876619596,85.1327437228324,Private,2,Budget,0,Infectious Disease,292,False,0,3.0,False,False,
divya health clinic,clinic,Biratnagar,27.5014457968044,83.4488372287271,Private,2,Budget,0,General Medicine,412,False,0,2.8,False,True,
Lagma Basic Health Care Center,clinic,Kathmandu,26.6748183986998,86.1429538273571,Private,2,Budget,0,Dermatology,212,True,0,2.8,False,False,
Rural Medical Hall,clinic,Lamjung,28.052215289918,81.6200624463985,Private,2,Budget,0,General Medicine,470,True,0,3.4,False,False,081-521885
BP Smriti Hospital,hospital,Myagdi,,,Private,2,Standard,1,"Orthopedics, Dermatology, General Medicine, Gastroenterology",824,True,112,3.2,True,True,
Sisne Health Post,clinic,Kathmandu,28.7436713397616,82.6717605408802,Private,2,Budget,0,"Gastroenterology, Infectious Disease, Dermatology",395,True,0,3.2,False,True,
Sahara Health Care,clinic,Nepalgunj,,,Private,2,Budget,0,Infectious Disease,331,False,0,3.3,False,False,
Rescue Tent,hospital,Kathmandu,,,Private,2,Premium,2,"General Medicine, Neurology, Gastroenterology, Endocrinology, Infectious Disease, Dermatology",1186,True,366,4.0,True,True,
सिकलसेल एनेमिया ल्यब,clinic,Banke,28.1994609373384,81.6558074915771,Private,2,Budget,0,"Dermatology, Gastroenterology",258,False,0,2.6,False,True,
